Corey Lyons (BRL), BRL,MID, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,
Stefan Martin (BRL), BRL,RUC, ,111,63,154,94,97,92,114,112,79,134,106,110,0,68,142,110,142,117,82,72,103,133,125,540000,540000,540000,543200,539600,552800,532700,525900,526400,520600,526200,527700,541200,541200,521700,522000,522100,555600,568300,565100,531000,499800,499200,
Rhys Mathieson (BRL), BRL,MID, FWD,0,97,44,62,0,0,0,0,0,0,0,0,0,69,40,96,72,66,63,87,62,55,55,400100,400100,400100,400100,385800,385800,385800,385800,385800,385800,385800,385800,385800,385800,359600,337700,336900,338000,349900,343900,345800,345300,340900,
Sam Mayes (BRL), BRL,DEF, ,74,45,81,28,0,0,0,0,0,0,0,51,0,58,0,0,0,0,0,0,0,0,58,441400,441400,441400,413500,373600,373600,373600,373600,373600,373600,373600,373600,344000,344000,312200,312200,312200,312200,312200,312200,312200,312200,312200,
Hugh McCluggage (BRL), BRL,MID, FWD,48,86,81,48,96,65,53,70,130,84,28,53,0,97,91,78,113,66,36,140,61,94,79,297800,297800,297800,314900,328500,343300,345700,349100,339200,360700,390900,394200,361200,361200,343100,356800,377900,400700,405800,390900,391500,389500,413400,
Oscar McInerney (BRL), BRL,RUC, ,0,0,0,0,0,54,65,81,65,41,53,59,0,48,62,48,57,90,39,82,31,0,60,123900,123900,123900,123900,123900,123900,123900,123900,179900,225600,248700,253100,252900,252900,256000,261400,260400,264000,278700,285400,301100,286200,286200,
Daniel McStay (BRL), BRL,DEF, ,50,58,0,0,36,35,67,69,37,42,75,37,0,0,84,45,68,71,81,47,55,38,60,333600,333600,333600,333600,333600,310600,285900,271200,274600,277800,269500,266100,262800,262800,262800,278400,276400,289000,292000,310300,313900,309300,286500,
Marco Paparone (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,
Jack Payne (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,
Cameron Rayner (BRL), BRL,FWD, MID,38,20,63,97,60,52,73,36,55,35,89,62,0,25,104,78,76,70,40,88,53,76,65,202800,202800,202800,203000,230300,268600,290900,295900,288200,283700,263900,273100,282200,282200,284500,292000,304400,336500,344400,333300,330100,320100,328500,
