Mitchell McGovern (ADE), ADE,FWD, ,51,41,80,80,79,65,94,72,0,83,89,66,89,0,72,70,77,78,83,79,89,88,79,381200,381200,381200,356700,352900,367500,370300,377900,379400,379400,392400,392800,395800,395800,390500,388300,381400,379000,383100,387000,394700,402600,408300
Andrew McPherson (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,24,23,24,24,0,23,24,24,23,24,24,23,24,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117400,117500,117500,117600,117600,117600,117600,117600,117600,117600,117600,117600
Wayne Milera (ADE), ADE,MID, FWD,0,74,29,69,79,116,28,0,0,63,67,75,65,0,66,65,62,65,63,69,67,60,49,322000,322000,322000,322000,314300,311200,346900,354000,354000,354000,326900,330300,333700,333700,335700,332700,329100,326100,323000,323900,325400,325100,316100
Lachlan Murphy (ADE), ADE,DEF, ,32,80,63,0,0,0,0,0,51,57,57,57,57,0,57,63,57,57,57,57,57,57,57,102400,102400,102400,153600,153600,153600,153600,153600,153600,198800,235400,248300,257700,257700,264500,272200,277800,281900,282300,282600,282800,282900,282900
Reilly O'Brien (ADE), ADE,RUC, ,0,0,0,0,0,0,0,0,0,63,63,59,63,0,63,63,63,67,63,63,63,63,63,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,234300,253700,253700,267900,280000,288900,297200,303200,307600,309100,310100,310900
Andy Otten (ADE), ADE,DEF, FWD,0,0,0,0,71,45,54,69,76,53,56,75,71,0,63,60,57,63,59,71,56,62,61,399400,399400,399400,399400,399400,399400,399400,368700,344600,340500,328800,322300,325600,325600,331200,328500,320300,314300,309400,312200,311100,311600,307500
Myles Poholke (ADE), ADE,MID, FWD,0,0,0,0,53,18,0,36,61,42,42,42,42,0,42,42,42,42,42,40,42,42,42,123900,123900,123900,123900,123900,123900,123900,123900,138300,152300,191300,196000,199400,199400,201900,203800,205100,206100,206800,206400,206100,205900,206700
Paul Seedsman (ADE), ADE,DEF, MID,75,99,110,71,115,93,87,68,94,77,87,77,100,0,96,100,86,76,77,88,79,82,104,300200,300200,300200,347500,381600,414300,429200,446600,437200,430500,422800,416400,422000,422000,430100,446300,451800,447000,433100,423900,418500,416900,422800
Matthew Signorello (ADE), ADE,MID, FWD,0,0,0,0,0,0,0,0,0,25,25,25,25,0,25,25,25,25,25,25,25,25,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,124000,124100,124100,124100,124100,124100,124100,124100,124100,124100,124100,124100
Rory Sloane (ADE), ADE,MID, ,89,141,78,59,0,0,0,0,0,91,88,105,107,0,101,111,122,92,98,101,88,119,95,605800,605800,605800,582500,553700,553700,553700,553700,553700,553700,476000,474400,480400,480400,490600,500700,514800,521100,519900,509600,500300,502900,502100
Brodie Smith (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,97,111,96,102,0,116,110,79,78,103,91,111,112,104,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,466000,478300,478300,489500,503900,504200,487500,472100,466300,476800,488500,502800
Daniel Talia (ADE), ADE,DEF, ,68,83,80,82,48,90,66,24,78,68,53,60,64,0,64,64,60,62,69,54,49,65,59,360800,360800,360800,368200,381200,375300,374200,365500,347600,328900,319800,314400,308700,308700,309400,311700,311600,310600,312200,310600,303700,296800,294100
Taylor Walker (ADE), ADE,FWD, ,0,70,79,60,99,73,0,48,0,76,82,57,69,0,72,74,63,69,69,75,84,99,63,473600,473600,473600,473600,442600,433100,421900,421900,406600,406600,373100,368500,362000,362000,352800,353700,351600,348800,344500,346700,355000,374500,383400
Patrick Wilson (ADE), ADE,MID, FWD,0,0,0,0,0,0,0,0,0,21,22,21,21,0,22,21,21,22,21,21,22,21,21,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105600,105700,105700,105800,105900,105900,105900,105900,105900,105900,105900,105900
Jacob Allison (BRL), BRL,MID, ,0,0,0,0,62,43,32,0,0,51,49,51,0,50,51,51,51,51,51,49,46,57,49,266500,266500,266500,266500,266500,266500,266500,256600,256600,256600,237000,240500,240500,242600,245100,246900,248700,249900,250800,250600,248200,249200,249800
Harris Andrews (BRL), BRL,DEF, ,67,81,57,101,130,82,80,107,115,96,105,108,0,95,106,127,106,113,107,105,89,108,89,380100,380100,380100,370700,380300,409800,441200,454000,452000,465000,492700,497800,497800,501100,503900,514500,527100,539400,539500,539100,528100,520500,507800
Zachary Bailey (BRL), BRL,MID, ,0,0,0,15,41,57,55,47,47,49,49,49,0,54,49,49,50,49,49,49,53,49,49,139800,139800,139800,139800,139800,139800,153300,180800,203100,214900,226000,230600,230600,236300,240500,243500,243900,244200,244500,244200,245700,246900,247800
Connor Ballenden (BRL), BRL,DEF, FWD,0,0,0,0,0,0,0,0,0,24,23,24,0,24,23,24,24,23,24,24,23,24,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117400,117400,117500,117600,117600,117600,117600,117600,117600,117600,117600,117600
Jake Barrett (BRL), BRL,FWD, ,0,0,0,0,0,0,0,0,0,65,64,62,0,57,76,71,65,73,66,64,70,61,72,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,339400,339400,329600,327800,330500,336000,338800,338600,338000,336100,332500,333500
Ryan Bastinac (BRL), BRL,MID, ,0,0,0,0,70,0,0,0,0,78,74,73,0,71,74,80,75,92,83,74,69,72,89,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,416100,404400,404400,392700,384100,381000,380500,388100,395100,399700,392800,382900,382300
Claye Beams (BRL), BRL,MID, ,0,0,0,0,0,0,0,0,0,40,38,49,0,45,45,51,38,36,43,55,43,44,52,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,284700,284700,266900,257000,250600,242800,233200,222600,222400,225400,228000,228600
Dayne Beams (BRL), BRL,MID, ,69,59,0,83,73,130,108,63,109,103,87,101,0,73,109,104,103,108,81,90,100,94,89,557600,557600,557600,557600,505300,469000,472500,485500,489300,482400,480500,480900,480900,467800,468000,469500,484000,494100,491300,483400,474000,473000,471800
Tom Bell (BRL), BRL,FWD, ,60,0,0,0,0,0,0,0,0,62,53,60,0,66,62,52,63,60,58,58,55,58,65,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287700,288300,288300,290400,296000,296600,295600,294100,295600,294400,291300,289100,290600
Jarrod Berry (BRL), BRL,MID, ,103,75,49,49,96,70,52,73,63,70,71,73,0,75,78,76,74,75,78,71,61,78,71,339100,339100,339100,350500,335700,334600,342100,348300,341700,333500,336100,341000,341000,346800,354100,360900,365300,367300,369600,369900,363900,359500,356300
Rohan Bewick (BRL), BRL,MID, FWD,0,88,66,69,0,0,0,0,0,62,63,60,0,52,72,65,62,59,51,83,57,67,72,318900,318900,318900,318900,334900,334900,334900,334900,334900,334900,329500,323300,323300,314300,311700,312100,316700,314300,306300,309800,311600,320000,321200
Charlie Cameron (BRL), BRL,FWD, ,83,115,91,26,85,41,68,120,92,68,70,89,0,81,82,61,86,81,81,70,81,96,76,372500,372500,372500,402800,400800,386100,351600,344500,354100,383700,398700,392500,392500,393800,400100,392200,388700,385700,392400,390200,388500,394000,400700
Allen Christensen (BRL), BRL,FWD, ,66,101,74,98,54,74,61,56,93,71,64,61,0,71,66,72,78,69,54,67,65,62,63,267300,267300,267300,304100,346500,356900,363300,350800,341700,343300,356700,348000,348000,341700,338000,340200,344900,349700,345200,336900,329100,327000,323700
Cedric Cox (BRL), BRL,DEF, ,0,51,37,0,0,0,0,0,0,34,32,34,0,34,34,44,34,34,34,32,34,31,40,252200,252200,252200,252200,252200,252200,252200,252200,252200,252200,220200,205500,205500,194700,187800,187200,186700,186300,181700,177400,174200,170500,171400
Tom Cutler (BRL), BRL,DEF, ,0,0,92,40,122,76,46,77,113,87,85,89,0,93,108,105,90,65,86,85,76,90,108,389000,389000,389000,389000,389000,400800,400900,403000,383400,385400,423200,425600,425600,430000,443600,460600,471700,460600,444000,429600,424100,421800,430400
