
DEF
Mitch Crowden (FRE)
Nat Fyfe (FRE)
Stefan Giro (FRE)
Bradley Hill (FRE)
Stephen Hill (FRE)
Ed Langdon (FRE)
David Mundy (FRE)
Lachie Neale (FRE)
Thomas North (FRE)
Darcy Tucker (FRE)
Michael Walters (FRE)
Charlie Ballard (GCS)
Michael Barlow (GCS)
Will Brodie (GCS)
Jacob Dawson (GCS)
Brayden Fiorini (GCS)
Aaron Hall (GCS)
Pearce Hanley (GCS)
Nick Holman (GCS)
Jesse Lonergan (GCS)
Jarryd Lyons (GCS)
Touk Miller (GCS)
Wil Powell (GCS)
Michael Rischitelli (GCS)
Matt Rosa (GCS)
Joshua Schoenfeld (GCS)
David Swallow (GCS)
Lachlan Weller (GCS)
Harrison Wigg (GCS)
Gary Ablett (GEE)
Mark Blicavs (GEE)
Charlie Constable (GEE)
Jordan Cunico (GEE)
Patrick Dangerfield (GEE)
Mitch Duncan (GEE)
Lachlan Fogarty (GEE)
Cameron Guthrie (GEE)
George Horlin-Smith (GEE)
Timothy Kelly (GEE)
Sam Menegola (GEE)
Jordan Murdoch (GEE)
Quinton Narkle (GEE)
Mark O'Connor (GEE)
Brandan Parfitt (GEE)
Joel Selwood (GEE)
Scott Selwood (GEE)
Jackson Thurlow (GEE)
Aiden Bonar (GWS)
Stephen Coniglio (GWS)
Brent Daniels (GWS)
Jeremy Finlayson (GWS)
Ryan Griffen (GWS)
Jacob Hopper (GWS)
Joshua Kelly (GWS)
Adam Kennedy (GWS)
Tom Scully (GWS)
Will Setterfield (GWS)
Dylan Shiel (GWS)
Nicholas Shipley (GWS)
Tim Taranto (GWS)
Callan Ward (GWS)
Lachlan Whitfield (GWS)
Shaun Burgoyne (HAW)
James Cousins (HAW)
Ricky Henderson (HAW)
Daniel Howe (HAW)
Harry Jones (HAW)
Will Langford (HAW)
Kieran Lovell (HAW)
Tom Mitchell (HAW)
Dylan Moore (HAW)
Jaeger O'Meara (HAW)
Jono O'Rourke (HAW)
Jackson Ross (HAW)
Liam Shiels (HAW)
Isaac Smith (HAW)
Dallas Willsmore (HAW)
James Worpel (HAW)
Harley Balic (MEL)
Angus Brayshaw (MEL)
Mitch Hannan (MEL)
James Harmes (MEL)
Dion Johnstone (MEL)
Nathan Jones (MEL)
Jay Kennedy-Harris (MEL)
Jordan Lewis (MEL)
Corey Maynard (MEL)
Clayton Oliver (MEL)
Christian Petracca (MEL)
Joel Smith (MEL)
Charlie Spargo (MEL)
Billy Stretch (MEL)
Dom Tyson (MEL)
Jack Viney (MEL)
Paul Ahern (NTH)
Ben Cunnington (NTH)
Luke Davies-Uniacke (NTH)
Trent Dumont (NTH)
Billy Hartung (NTH)
Kyron Hayden (NTH)
Shaun Higgins (NTH)
Ben Jacobs (NTH)
Oscar Junker (NTH)
Luke McDonald (NTH)
Declan Mountford (NTH)
Tom Murphy (NTH)
Will Walker (NTH)
Josh Williams (NTH)
Jack Ziebell (NTH)
Karl Amon (PTA)
Joe Atley (PTA)
Dom Barry (PTA)
Travis Boak (PTA)
Willem Drew (PTA)
Brad Ebert (PTA)
Kane Farrell (PTA)
Steven Motlop (PTA)
Jake Patmore (PTA)
Jared Polec (PTA)
Sam Powell-Pepper (PTA)
Tom Rockliff (PTA)
William Snelling (PTA)
Jimmy Toumpas (PTA)
Jack Trengove (PTA)
Justin Westhoff (PTA)
Ollie Wines (PTA)
Chad Wingard (PTA)
Josh Caddy (RIC)
Trent Cotchin (RIC)
Shane Edwards (RIC)
Corey Ellis (RIC)
Jack Graham (RIC)
Shaun Grigg (RIC)
Jack Higgins (RIC)
Kane Lambert (RIC)
Dustin Martin (RIC)
Kamdyn McIntosh (RIC)
Connor Menadue (RIC)
Anthony Miles (RIC)
Patrick Naish (RIC)
Dion Prestia (RIC)
Blake Acres (STK)
David Armitage (STK)
Hunter Clark (STK)
Nicholas Coffield (STK)
Luke Dunstan (STK)
Nathan Freeman (STK)
Doulton Langlands (STK)
Jack Newnes (STK)
Ed Phillips (STK)
Sebastian Ross (STK)
Jack Sinclair (STK)
Jack Steele (STK)
Jack Steven (STK)
Koby Stevens (STK)
James Bell (SYD)
Jake Brown (SYD)
Jordan Dawson (SYD)
Jordan Foote (SYD)
Robbie Fox (SYD)
